Booking_ID,Segment_Type,Arrival_Year,Arrival_Month,Arrival_Date,Num_Adults,Num_Children,Num_Week_Nights,Num_Weekend_Nights,Room_Type,Lead_Time,Avg_Room_Price
INN00001,Offline,2017,10,2,2,0,2,1,Room_Type 1,224,65
INN00002,Online,2018,11,6,2,0,3,2,Room_Type 1,5,106.68
INN00003,Online,2018,2,28,1,0,1,2,Room_Type 1,1,60
INN00004,Online,2018,5,20,2,0,2,0,Room_Type 1,211,100
INN00005,Online,2018,4,11,2,0,1,1,Room_Type 1,48,94.5
INN00006,Online,2018,9,13,2,0,2,0,Room_Type 1,346,115
INN00007,Online,2017,10,15,2,0,3,1,Room_Type 1,34,107.55
INN00008,Online,2018,12,26,2,0,3,1,Room_Type 4,83,105.61
INN00009,Offline,2018,7,6,3,0,4,0,Room_Type 1,121,96.9
INN00010,Online,2018,10,18,2,0,5,0,Room_Type 4,44,133.44
INN00011,Online,2018,9,11,1,0,0,1,Room_Type 1,0,85.03
INN00012,Online,2018,4,30,1,0,1,2,Room_Type 4,35,140.4
INN00013,Online,2018,11,26,2,0,1,2,Room_Type 1,30,88
INN00014,Online,2018,11,20,1,0,0,2,Room_Type 1,95,90
INN00015,Online,2017,10,20,2,0,2,0,Room_Type 1,47,94.5
INN00016,Online,2018,6,15,2,0,2,0,Room_Type 1,256,115
INN00017,Offline,2017,10,5,1,0,0,1,Room_Type 1,0,96
INN00018,Online,2017,8,10,2,0,3,1,Room_Type 1,1,96
INN00019,Online,2017,10,30,2,0,2,2,Room_Type 1,99,65
INN00020,Offline,2017,10,4,2,0,0,1,Room_Type 1,12,72
INN00021,Online,2017,10,30,2,0,2,2,Room_Type 1,99,65
INN00022,Corporate,2018,11,25,1,0,1,0,Room_Type 1,122,67
INN00023,Offline,2018,3,20,2,0,4,2,Room_Type 1,2,85
INN00024,Offline,2018,10,13,2,0,3,0,Room_Type 1,37,105
INN00025,Online,2018,5,22,2,0,1,2,Room_Type 1,130,94.5
INN00026,Online,2018,4,28,2,0,2,0,Room_Type 1,99,114.3
INN00027,Offline,2017,9,21,2,0,1,1,Room_Type 1,60,65
INN00028,Aviation,2018,5,19,1,0,2,0,Room_Type 4,2,110
INN00029,Online,2017,11,6,1,0,2,1,Room_Type 1,37,37.33
INN00030,Offline,2017,9,17,2,0,2,0,Room_Type 1,56,82
INN00031,Online,2017,9,19,2,0,1,1,Room_Type 4,3,177.5
INN00032,Online,2018,11,13,2,0,2,2,Room_Type 1,107,87.5
INN00033,Online,2018,12,7,0,2,3,0,Room_Type 2,56,82.44
INN00034,Online,2018,1,9,2,0,1,0,Room_Type 1,2,69.5
INN00035,Offline,2018,10,7,2,0,2,0,Room_Type 1,72,85.5
INN00036,Online,2018,4,27,2,0,1,0,Room_Type 1,23,115
INN00037,Online,2018,6,19,1,0,1,2,Room_Type 1,34,81
INN00038,Offline,2017,10,17,2,0,1,0,Room_Type 1,289,67
INN00039,Online,2018,11,19,2,0,3,2,Room_Type 1,247,63.75
INN00040,Online,2018,7,30,2,0,1,2,Room_Type 4,186,121.8
INN00041,Online,2018,11,1,2,0,4,0,Room_Type 1,64,93.6
INN00042,Online,2018,6,21,2,0,2,0,Room_Type 1,35,102
INN00043,Online,2018,4,10,3,0,1,2,Room_Type 1,96,121.8
INN00044,Online,2018,6,27,2,0,1,1,Room_Type 1,41,98.1
INN00045,Offline,2017,11,18,2,0,4,0,Room_Type 4,55,60
INN00046,Offline,2017,12,29,2,0,3,0,Room_Type 1,146,75
INN00047,Offline,2017,11,20,1,0,2,0,Room_Type 1,32,73
INN00048,Offline,2018,4,6,2,0,1,0,Room_Type 1,55,104
INN00049,Online,2018,11,1,2,0,4,0,Room_Type 1,57,79.2
INN00050,Online,2018,12,29,1,0,3,1,Room_Type 4,7,125.8
INN00051,Online,2018,5,30,1,0,5,2,Room_Type 1,124,87.95
INN00052,Online,2018,4,22,2,0,2,2,Room_Type 1,169,106
INN00053,Online,2018,5,16,1,0,2,1,Room_Type 1,6,136.67
INN00054,Offline,2017,11,11,2,0,4,0,Room_Type 4,51,60
INN00055,Online,2018,6,13,2,0,0,1,Room_Type 1,13,89
INN00056,Online,2018,5,19,2,0,3,1,Room_Type 1,100,136
INN00057,Online,2018,7,28,2,0,1,0,Room_Type 1,139,94.5
INN00058,Online,2018,12,26,2,0,2,1,Room_Type 1,117,93.6
INN00059,Online,2018,4,20,2,0,4,1,Room_Type 4,39,120.6
INN00060,Online,2018,4,6,2,0,3,0,Room_Type 4,86,99.3
INN00061,Online,2018,9,2,2,2,1,0,Room_Type 6,2,258
INN00062,Online,2018,5,3,1,0,3,0,Room_Type 4,19,120.12
INN00063,Offline,2018,6,24,1,0,2,0,Room_Type 1,192,95
INN00064,Complementary,2017,9,10,1,0,1,0,Room_Type 1,2,0
INN00065,Offline,2018,12,18,2,0,1,2,Room_Type 1,86,75
INN00066,Online,2018,10,5,2,0,3,0,Room_Type 4,30,157.5
INN00067,Online,2018,6,3,2,0,2,0,Room_Type 4,179,97.7
INN00068,Online,2018,4,15,2,0,2,0,Room_Type 4,26,142
INN00069,Offline,2018,4,6,2,0,1,0,Room_Type 1,55,80
INN00070,Online,2018,4,25,2,0,2,1,Room_Type 1,74,85.5
INN00071,Offline,2018,8,25,2,0,3,0,Room_Type 1,143,100
INN00072,Online,2018,11,14,2,0,0,1,Room_Type 1,34,88
INN00073,Online,2018,8,29,2,0,1,1,Room_Type 1,30,122.85
INN00074,Online,2018,6,3,2,0,2,0,Room_Type 1,177,100
INN00075,Offline,2017,10,25,2,0,3,2,Room_Type 4,34,75
INN00076,Online,2018,3,9,2,0,4,1,Room_Type 4,18,116.8
INN00077,Online,2018,12,31,3,0,1,1,Room_Type 4,267,121.5
INN00078,Online,2018,6,27,2,0,2,1,Room_Type 1,64,111.9
INN00079,Online,2018,6,28,3,0,5,2,Room_Type 4,155,121.55
INN00080,Offline,2018,3,29,2,0,5,0,Room_Type 1,46,75
INN00081,Online,2018,4,1,2,2,2,0,Room_Type 6,83,159.3
INN00082,Online,2018,10,11,2,0,5,0,Room_Type 4,128,132.3
INN00083,Online,2018,12,25,2,0,0,2,Room_Type 1,20,88
INN00084,Online,2018,3,14,2,0,4,1,Room_Type 4,40,98.82
INN00085,Online,2018,3,4,2,0,2,1,Room_Type 4,46,98.3
INN00086,Online,2018,10,17,1,0,0,1,Room_Type 1,1,150
INN00087,Online,2018,9,4,2,0,3,2,Room_Type 1,196,96.05
INN00088,Online,2018,6,15,1,0,2,0,Room_Type 1,188,130
INN00089,Online,2018,12,10,2,0,1,0,Room_Type 1,17,95
INN00090,Offline,2018,8,9,2,0,3,0,Room_Type 5,146,113.56
INN00091,Online,2018,5,5,2,0,3,1,Room_Type 1,110,101.58
INN00092,Online,2018,3,18,2,0,2,1,Room_Type 1,68,105.3
INN00093,Online,2018,4,9,2,0,1,2,Room_Type 4,73,115.8
INN00094,Online,2018,5,19,2,0,1,0,Room_Type 4,92,149.4
INN00095,Online,2018,8,30,2,0,5,2,Room_Type 1,171,111.59
INN00096,Online,2018,8,4,2,1,2,0,Room_Type 1,134,130.5
INN00097,Online,2018,8,18,2,0,2,0,Room_Type 1,320,115
INN00098,Online,2018,4,13,2,0,4,0,Room_Type 1,118,90.95
INN00099,Online,2018,11,17,2,0,3,0,Room_Type 1,30,76.08
INN00100,Online,2018,12,22,2,2,3,1,Room_Type 6,30,156.9
INN00101,Online,2018,10,23,2,0,0,1,Room_Type 1,189,85.5
INN00102,Online,2018,5,13,3,0,2,1,Room_Type 4,55,159.3
INN00103,Online,2018,12,13,1,0,4,0,Room_Type 1,55,74.8
INN00104,Online,2017,10,31,2,0,1,0,Room_Type 1,16,95
INN00105,Online,2017,10,8,2,0,3,0,Room_Type 1,24,107
INN00106,Offline,2018,2,16,2,0,3,0,Room_Type 1,8,64
INN00107,Online,2017,11,2,2,0,4,1,Room_Type 1,10,82.95
INN00108,Online,2017,9,21,2,0,3,1,Room_Type 4,0,155
INN00109,Online,2018,6,30,2,0,1,0,Room_Type 1,12,101.68
INN00110,Online,2017,9,5,2,0,1,2,Room_Type 1,32,94.5
INN00111,Online,2018,9,30,2,0,2,0,Room_Type 1,182,117.9
INN00112,Online,2018,6,27,2,0,0,1,Room_Type 1,1,127
INN00113,Online,2018,6,16,2,0,3,0,Room_Type 1,122,116.1
INN00114,Online,2018,6,30,2,0,3,2,Room_Type 1,40,117.9
INN00115,Online,2018,6,26,2,2,2,2,Room_Type 2,116,184.24
INN00116,Online,2018,8,13,3,0,2,2,Room_Type 4,123,155.7
INN00117,Online,2018,4,22,3,0,5,2,Room_Type 4,40,135.76
INN00118,Online,2018,11,12,2,1,5,2,Room_Type 1,105,102.83
INN00119,Online,2018,4,29,2,0,1,0,Room_Type 1,443,65
INN00120,Online,2017,11,14,2,0,3,2,Room_Type 1,2,103
INN00121,Online,2018,9,1,2,0,3,0,Room_Type 1,317,106.2
INN00122,Offline,2018,9,16,2,0,2,0,Room_Type 1,286,58.5
INN00123,Online,2018,3,10,2,0,3,1,Room_Type 1,68,73.95
INN00124,Online,2018,5,5,2,0,3,0,Room_Type 1,148,105.3
INN00125,Online,2018,4,24,3,0,0,2,Room_Type 4,68,133.2
INN00126,Offline,2018,3,30,2,0,2,0,Room_Type 1,30,85.5
INN00127,Online,2018,11,3,1,0,1,0,Room_Type 1,14,112
INN00128,Online,2018,10,14,2,2,2,0,Room_Type 6,110,190.8
INN00129,Offline,2018,6,5,1,0,3,2,Room_Type 1,117,110
INN00130,Online,2018,7,13,2,0,4,1,Room_Type 4,85,91.48
INN00131,Online,2018,10,20,2,0,2,0,Room_Type 1,1,135
INN00132,Online,2018,10,17,1,0,2,1,Room_Type 1,25,129
INN00133,Online,2018,12,28,2,0,4,2,Room_Type 1,289,70.55
INN00134,Offline,2017,10,19,2,0,4,1,Room_Type 4,28,75
INN00135,Online,2018,3,29,1,0,4,0,Room_Type 1,80,72.25
INN00136,Online,2017,10,9,2,0,1,0,Room_Type 4,11,155
INN00137,Online,2018,7,25,2,1,0,1,Room_Type 1,162,121.5
INN00138,Online,2018,6,28,2,0,5,2,Room_Type 1,155,90.95
INN00139,Online,2018,5,22,1,0,2,2,Room_Type 1,82,109.65
INN00140,Online,2018,4,15,3,0,4,2,Room_Type 4,27,142.72
INN00141,Offline,2018,5,9,1,0,2,1,Room_Type 1,13,90
INN00142,Online,2018,6,17,2,0,2,0,Room_Type 1,245,75
INN00143,Online,2018,11,18,2,0,2,0,Room_Type 1,11,111
INN00144,Online,2018,10,30,2,0,2,2,Room_Type 1,266,86.7
INN00145,Online,2018,3,28,2,0,0,1,Room_Type 1,39,117.9
INN00146,Complementary,2018,6,1,1,0,2,0,Room_Type 1,13,0
INN00147,Online,2018,5,4,2,0,4,0,Room_Type 1,112,101.58
INN00148,Online,2018,4,8,2,0,2,1,Room_Type 1,88,58.9
INN00149,Offline,2018,6,8,2,0,1,0,Room_Type 1,56,120
INN00150,Online,2018,4,7,2,0,3,2,Room_Type 4,73,107.1
INN00151,Online,2018,5,2,2,0,1,1,Room_Type 1,80,126.9
INN00152,Online,2018,9,29,2,0,3,0,Room_Type 4,130,139.5
INN00153,Online,2018,4,4,2,0,3,1,Room_Type 1,69,80.75
INN00154,Online,2017,7,17,2,0,2,0,Room_Type 1,273,109
INN00155,Offline,2018,4,6,2,0,1,0,Room_Type 1,55,104
INN00156,Corporate,2018,11,1,1,0,3,0,Room_Type 1,4,65
INN00157,Online,2018,5,24,2,0,3,0,Room_Type 4,97,140.4
INN00158,Offline,2018,2,17,2,0,3,0,Room_Type 1,44,75
INN00159,Online,2018,4,14,2,0,1,0,Room_Type 1,31,94.5
INN00160,Online,2018,6,5,2,0,0,1,Room_Type 1,0,109
INN00161,Online,2018,11,12,2,0,2,2,Room_Type 1,62,105
INN00162,Online,2018,4,17,2,0,2,2,Room_Type 4,86,107.95
INN00163,Online,2018,10,7,3,0,2,2,Room_Type 7,3,215.6
INN00164,Online,2018,8,1,2,0,1,1,Room_Type 1,197,85.5
INN00165,Online,2018,7,12,2,0,2,0,Room_Type 1,143,105.3
INN00166,Online,2018,1,2,1,0,1,2,Room_Type 1,23,1
INN00167,Online,2018,6,15,2,0,2,0,Room_Type 4,8,156
INN00168,Online,2018,11,16,1,0,2,0,Room_Type 1,13,73.15
INN00169,Online,2018,9,19,2,0,2,1,Room_Type 1,280,110
INN00170,Online,2017,9,13,2,1,0,1,Room_Type 1,11,87.4
INN00171,Online,2018,9,15,2,0,2,0,Room_Type 1,317,120
INN00172,Online,2018,12,16,2,0,2,1,Room_Type 1,185,79.2
INN00173,Online,2018,6,30,2,0,3,1,Room_Type 1,160,90.95
INN00174,Online,2018,10,18,2,0,4,0,Room_Type 1,104,91.48
INN00175,Online,2018,11,5,2,1,1,0,Room_Type 1,11,150
INN00176,Online,2018,3,22,2,0,1,0,Room_Type 1,2,89
INN00177,Online,2018,8,17,2,0,4,1,Room_Type 1,14,91.43
INN00178,Offline,2018,5,20,2,0,2,0,Room_Type 1,22,140
INN00179,Online,2017,10,24,1,1,5,2,Room_Type 1,37,87.78
INN00180,Online,2018,7,21,2,0,2,0,Room_Type 1,292,115
INN00181,Online,2017,9,9,2,0,3,0,Room_Type 1,11,80.85
INN00182,Online,2018,3,31,2,0,3,1,Room_Type 1,86,82.45
INN00183,Online,2018,10,11,2,0,1,0,Room_Type 1,109,108
INN00184,Online,2018,4,2,2,0,1,1,Room_Type 4,72,96.3
INN00185,Online,2018,8,22,2,0,5,1,Room_Type 1,196,99.45
INN00186,Online,2018,5,13,2,0,2,0,Room_Type 4,56,140.4
INN00187,Offline,2018,8,8,2,0,3,1,Room_Type 1,189,72.25
INN00188,Online,2018,8,15,2,0,4,1,Room_Type 4,126,126
INN00189,Online,2018,8,19,2,0,3,2,Room_Type 1,303,78
INN00190,Online,2018,11,6,1,0,2,2,Room_Type 4,81,146.6
INN00191,Online,2018,10,10,2,0,2,1,Room_Type 1,54,118.8
INN00192,Online,2018,10,6,1,0,1,0,Room_Type 1,15,145
INN00193,Online,2018,4,6,2,0,4,0,Room_Type 1,86,84.58
INN00194,Online,2018,3,25,2,0,2,1,Room_Type 1,161,130
INN00195,Online,2018,8,3,2,0,10,4,Room_Type 4,147,118.88
INN00196,Offline,2018,5,30,2,0,2,1,Room_Type 1,92,101.52
INN00197,Corporate,2017,9,11,2,0,1,0,Room_Type 1,87,100
INN00198,Offline,2018,3,20,2,0,1,2,Room_Type 1,109,58
INN00199,Offline,2018,3,23,2,0,4,0,Room_Type 1,127,61.5
INN00200,Online,2018,9,26,2,0,2,1,Room_Type 1,418,107
INN00201,Online,2018,8,24,2,0,4,1,Room_Type 1,156,87.3
INN00202,Online,2017,7,16,2,0,2,0,Room_Type 1,80,76.5
INN00203,Online,2018,12,16,2,0,2,2,Room_Type 1,211,63.75
INN00204,Online,2018,5,13,2,0,2,1,Room_Type 1,273,95
INN00205,Offline,2018,11,19,2,0,1,2,Room_Type 1,58,75
INN00206,Online,2018,9,8,2,0,3,0,Room_Type 1,433,70
INN00207,Online,2018,5,2,2,0,3,1,Room_Type 1,111,101.58
INN00208,Offline,2018,8,21,2,0,3,2,Room_Type 1,34,85
INN00209,Online,2018,12,3,2,0,4,2,Room_Type 1,17,98.39
INN00210,Complementary,2018,2,27,1,0,0,0,Room_Type 1,4,0
INN00211,Online,2017,9,22,2,0,3,0,Room_Type 1,6,106.07
INN00212,Offline,2018,7,18,2,0,1,1,Room_Type 1,32,105
INN00213,Online,2017,9,22,2,0,1,0,Room_Type 1,4,145
INN00214,Online,2018,8,13,3,0,1,2,Room_Type 1,195,106.03
INN00215,Online,2018,8,13,2,0,2,2,Room_Type 1,119,114.3
INN00216,Online,2018,12,5,1,0,1,1,Room_Type 1,13,88
INN00217,Online,2017,10,15,2,0,2,0,Room_Type 1,59,89.25
INN00218,Online,2018,3,20,2,1,5,2,Room_Type 4,78,86.32
INN00219,Offline,2018,10,13,2,0,3,0,Room_Type 1,335,90
INN00220,Online,2017,8,22,2,0,5,2,Room_Type 1,103,55.96
INN00221,Online,2018,6,8,1,0,2,0,Room_Type 1,0,109
INN00222,Offline,2018,3,1,2,0,1,0,Room_Type 1,118,86
INN00223,Online,2018,9,5,2,0,5,1,Room_Type 1,56,118.95
INN00224,Offline,2018,6,10,2,0,2,0,Room_Type 1,107,130
INN00225,Online,2018,4,14,2,0,3,1,Room_Type 1,70,90.56
INN00226,Online,2018,4,1,2,0,2,0,Room_Type 1,76,87.3
INN00227,Online,2018,5,27,2,2,2,2,Room_Type 6,144,177.65
INN00228,Online,2017,9,19,1,2,2,2,Room_Type 6,4,200.75
INN00229,Online,2018,3,18,2,1,2,0,Room_Type 1,15,127
INN00230,Online,2018,2,5,1,0,2,1,Room_Type 1,32,72.9
INN00231,Online,2018,5,7,3,0,1,1,Room_Type 4,49,159.3
INN00232,Online,2018,5,12,2,1,3,1,Room_Type 1,77,135.15
INN00233,Offline,2018,10,28,1,0,2,0,Room_Type 1,22,90
INN00234,Online,2017,10,18,2,0,0,1,Room_Type 1,0,114
INN00235,Online,2018,6,21,2,1,1,0,Room_Type 1,58,125.1
INN00236,Online,2017,8,14,2,0,6,2,Room_Type 1,4,95.13
INN00237,Online,2018,4,29,2,0,2,0,Room_Type 5,117,105.84
INN00238,Online,2018,12,26,2,0,3,1,Room_Type 1,36,102
INN00239,Online,2018,12,2,2,0,2,2,Room_Type 1,35,74.8
INN00240,Online,2018,4,24,2,0,0,1,Room_Type 1,31,94.5
INN00241,Online,2018,6,16,2,0,4,2,Room_Type 1,79,120.6
INN00242,Online,2017,10,9,2,0,2,1,Room_Type 1,1,139.33
INN00243,Online,2017,9,3,2,0,2,0,Room_Type 1,21,105
INN00244,Corporate,2018,9,14,2,0,2,0,Room_Type 1,12,100
INN00245,Online,2018,2,8,2,0,0,1,Room_Type 1,33,80.3
INN00246,Offline,2017,10,2,1,0,2,0,Room_Type 1,164,100
INN00247,Online,2018,3,24,2,0,3,0,Room_Type 1,78,105.3
INN00248,Online,2018,5,31,2,0,4,0,Room_Type 4,18,112.8
INN00249,Online,2018,8,15,2,0,2,1,Room_Type 1,21,151
INN00250,Online,2017,11,9,1,0,3,1,Room_Type 1,0,91
INN00251,Online,2018,8,13,3,0,1,2,Room_Type 4,152,146.7
INN00252,Offline,2017,10,2,2,0,3,2,Room_Type 1,43,58.4
INN00253,Online,2018,7,26,2,0,4,0,Room_Type 1,177,80.75
INN00254,Offline,2018,5,21,2,0,1,1,Room_Type 1,47,76.5
INN00255,Online,2018,9,7,3,0,3,0,Room_Type 4,57,140.13
INN00256,Online,2017,11,15,2,0,4,2,Room_Type 1,60,76
INN00257,Online,2017,9,16,2,0,1,0,Room_Type 1,0,200
INN00258,Online,2017,10,16,2,0,2,0,Room_Type 1,102,101.5
INN00259,Online,2018,10,18,2,0,3,0,Room_Type 1,71,108
INN00260,Online,2018,7,23,3,0,3,2,Room_Type 4,111,189
INN00261,Online,2018,6,11,3,0,1,1,Room_Type 4,1,166
INN00262,Online,2018,1,16,2,0,1,1,Room_Type 1,4,67.5
INN00263,Online,2017,9,14,2,0,3,1,Room_Type 4,25,78.54
INN00264,Online,2018,11,6,1,0,2,2,Room_Type 1,209,152.1
INN00265,Online,2018,10,15,1,0,1,2,Room_Type 1,93,115
INN00266,Online,2017,9,2,2,0,5,2,Room_Type 1,53,66.53
INN00267,Complementary,2017,8,12,1,0,2,0,Room_Type 1,1,0
INN00268,Complementary,2017,8,23,1,0,1,2,Room_Type 1,4,0
INN00269,Online,2018,12,29,2,0,3,0,Room_Type 1,302,90.3
INN00270,Offline,2018,4,15,2,0,2,0,Room_Type 1,122,85
INN00271,Corporate,2018,3,11,1,0,1,0,Room_Type 1,16,75
INN00272,Online,2018,8,28,2,0,4,2,Room_Type 1,28,115.37
INN00273,Online,2018,3,25,2,0,2,1,Room_Type 1,161,130
INN00274,Online,2018,12,9,3,0,2,0,Room_Type 4,57,126
INN00275,Online,2018,6,12,2,0,0,1,Room_Type 1,19,94.35
INN00276,Online,2018,7,6,3,0,4,2,Room_Type 4,109,118.46
INN00277,Online,2018,6,15,1,0,2,0,Room_Type 1,239,90.6
INN00278,Online,2018,3,5,1,0,1,2,Room_Type 1,33,82.9
INN00279,Online,2017,8,18,2,0,3,0,Room_Type 1,11,95.33
INN00280,Online,2018,4,21,3,0,5,2,Room_Type 4,40,135.64
INN00281,Offline,2018,6,18,3,0,1,1,Room_Type 4,45,122.4
INN00282,Online,2018,5,9,2,0,3,1,Room_Type 1,41,116.1
INN00283,Online,2018,6,28,2,0,4,0,Room_Type 1,167,62.18
INN00284,Online,2018,3,9,2,0,4,0,Room_Type 1,62,63.75
INN00285,Online,2018,9,7,1,0,4,1,Room_Type 1,113,118.8
INN00286,Online,2018,8,10,2,0,2,0,Room_Type 1,1,167
INN00287,Online,2018,5,13,2,2,2,2,Room_Type 6,84,187.85
INN00288,Online,2018,4,24,0,2,2,2,Room_Type 1,68,108.38
INN00289,Complementary,2018,9,7,2,0,1,0,Room_Type 2,9,0
INN00290,Online,2018,10,28,3,0,2,1,Room_Type 1,245,128.7
INN00291,Online,2018,3,17,2,0,3,1,Room_Type 1,80,80.33
INN00292,Online,2018,8,22,2,0,1,1,Room_Type 1,7,140
INN00293,Online,2017,8,8,2,1,1,1,Room_Type 1,128,76.5
INN00294,Online,2018,5,1,2,0,1,2,Room_Type 1,100,105.3
INN00295,Online,2018,4,3,2,0,1,2,Room_Type 1,118,87.3
INN00296,Online,2018,11,1,1,0,3,0,Room_Type 1,166,110
INN00297,Offline,2017,9,4,1,0,1,0,Room_Type 1,41,83
INN00298,Online,2018,8,13,2,0,2,2,Room_Type 1,174,99.45
INN00299,Offline,2017,12,27,2,1,1,2,Room_Type 1,27,104.5
INN00300,Online,2018,11,16,2,0,6,2,Room_Type 1,2,92.54
INN00301,Offline,2018,10,13,1,0,3,0,Room_Type 1,37,95
INN00302,Online,2018,6,15,1,0,2,0,Room_Type 1,188,130
INN00303,Offline,2018,1,2,2,0,1,2,Room_Type 1,68,63
INN00304,Online,2018,10,28,2,0,2,1,Room_Type 4,189,109.8
INN00305,Online,2018,5,16,2,0,0,1,Room_Type 1,10,103
INN00306,Online,2018,2,20,3,0,1,2,Room_Type 4,19,130
INN00307,Online,2018,3,23,2,0,2,0,Room_Type 1,61,117
INN00308,Offline,2017,12,29,2,0,4,0,Room_Type 4,95,60.5
INN00309,Offline,2017,9,30,2,0,1,0,Room_Type 1,83,112.2
INN00310,Online,2018,8,1,2,0,3,1,Room_Type 1,37,135.9
INN00311,Online,2018,7,25,2,0,0,1,Room_Type 1,19,151
INN00312,Online,2018,9,16,2,2,2,0,Room_Type 6,22,239
INN00313,Online,2017,12,26,2,0,1,2,Room_Type 1,22,59.09
INN00314,Online,2018,7,9,2,0,5,2,Room_Type 1,151,103.09
INN00315,Offline,2018,2,28,2,0,1,2,Room_Type 1,26,87
INN00316,Online,2018,4,17,3,0,0,1,Room_Type 4,27,137
INN00317,Offline,2018,6,24,2,0,2,0,Room_Type 1,79,109
INN00318,Online,2018,6,6,2,0,1,1,Room_Type 1,247,115
INN00319,Online,2018,7,17,2,0,3,2,Room_Type 4,189,99.45
INN00320,Online,2018,8,18,2,0,2,0,Room_Type 1,320,115
